City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Coquimbo,-29.95,-71.34,59.0,87,90,2.24,CL,1609853049
Perehonivka,48.54,30.52,37.62,78,100,11.34,UA,1609853315
Sitka,57.05,-135.33,41.0,75,90,14.99,US,1609853316
Boguchany,58.38,97.45,-16.06,86,100,7.61,RU,1609853317
Gatton,-27.55,152.28,75.2,78,60,8.05,AU,1609853318
Vestmanna,62.16,-7.17,42.8,100,79,10.29,FO,1609853319
Namatanai,-3.67,152.43,80.96,77,40,5.79,PG,1609853321
Leningradskiy,69.38,178.42,-10.26,88,100,12.95,RU,1609853322
Kavaratti,10.57,72.64,82.6,76,100,12.39,IN,1609853323
Padang,-0.95,100.35,82.4,78,75,2.24,ID,1609853324
Kumul,42.8,93.45,10.42,77,0,7.27,CN,1609853325
Belyy Yar,53.6,91.39,-22.0,74,0,4.47,RU,1609853326
Bowen,-20.02,148.23,78.8,94,75,4.7,AU,1609853327
Ponta Delgada,37.73,-25.67,59.0,82,75,21.92,PT,1609853243
Te Anau,-45.42,167.72,47.91,90,62,0.78,NZ,1609853329
New Norfolk,-42.78,147.06,61.0,64,77,0.98,AU,1609853330
George Town,5.41,100.34,78.8,83,40,9.17,MY,1609853332
Karakol,42.49,78.39,19.74,75,3,3.69,KG,1609853334
Sarangani,5.4,125.46,83.08,77,99,18.9,PH,1609853335
Sanmenxia,34.77,111.18,28.58,68,0,1.01,CN,1609853337
Lashio,22.93,97.75,60.48,70,95,1.01,MM,1609853338
Longyearbyen,78.22,15.64,23.0,73,75,21.92,SJ,1609853339
Ixtapa,20.7,-105.2,59.0,93,5,5.82,MX,1609853340
Saint George,37.1,-113.58,33.8,59,1,3.36,US,1609853342
Yangi Marg`ilon,40.43,71.72,21.2,85,75,4.7,UZ,1609853343
Sheboygan,43.73,-87.93,30.99,86,90,8.05,US,1609853344
Muroto-misakicho,33.28,134.15,50.58,62,100,11.01,JP,1609853345
Cam Ranh,11.92,109.16,78.8,78,40,16.11,VN,1609853346
Faanui,-16.48,-151.75,80.08,76,83,13.31,PF,1609853347
Lappeenranta,61.06,28.19,25.0,88,89,5.3,FI,1609853348
Byron Bay,-28.65,153.62,75.99,88,56,1.12,AU,1609853349
Sorgun,39.81,35.19,47.07,66,100,7.2,TR,1609853351
Flinders,-34.58,150.86,69.01,89,41,4.0,AU,1609853352
Port Lincoln,-34.73,135.87,58.1,77,52,17.72,AU,1609853353
St. George's,12.06,-61.75,77.0,83,40,11.41,GD,1609853354
Narasannapeta,18.42,84.05,71.69,76,76,8.12,IN,1609853355
Paamiut,61.99,-49.67,29.28,97,98,11.45,GL,1609853356
Clyde River,70.47,-68.59,-23.8,74,1,5.82,CA,1609853157
Sola,-13.88,167.55,77.0,94,20,12.59,VU,1609853358
Jining,35.41,116.58,27.01,84,2,1.28,CN,1609853361
Isangel,-19.55,169.27,78.8,94,90,6.93,VU,1609853362
Mossamedes,-15.2,12.15,84.2,66,20,14.99,AO,1609853363
Saldanha,-33.01,17.94,77.0,76,0,23.04,ZA,1609853364
Nikolskoye,59.7,30.79,30.2,80,90,2.24,RU,1609853365
Krasnoarmiys'k,48.28,37.18,33.22,90,100,13.18,UA,1609853366
Kieta,-6.22,155.63,80.17,76,82,3.91,PG,1609853367
Beloha,-25.17,45.05,71.65,80,100,7.4,MG,1609853368
Brazzaville,-4.27,15.28,89.6,55,40,3.36,CG,1609853369
Hasaki,35.73,140.83,39.2,93,75,8.05,JP,1609853370
Atar,20.52,-13.05,73.4,17,100,2.24,MR,1609853372
Araouane,18.9,-3.53,83.7,13,53,9.24,ML,1609853373
Moose Factory,51.26,-80.61,32.0,98,90,6.93,CA,1609853374
Sinnamary,5.38,-52.95,81.14,81,88,7.9,GF,1609853376
Cortez,37.35,-108.59,27.0,85,1,4.7,US,1609853377
Esperance,-33.87,121.9,60.8,67,0,17.22,AU,1609853378
Morondava,-20.28,44.28,85.87,65,84,11.79,MG,1609853379
Deputatsky,69.3,139.9,-27.81,84,3,5.84,RU,1609853380
Kaolinovo,43.62,27.12,54.0,61,0,8.01,BG,1609853381
Venado Tuerto,-33.75,-61.97,73.99,48,79,7.0,AR,1609853383
Hervey Bay,-25.3,152.85,79.0,82,100,3.0,AU,1609853384
Kichera,55.94,110.1,-27.42,69,89,3.96,RU,1609853385
Pepel,8.58,-13.06,84.2,70,40,6.93,SL,1609853386
Bethel,41.37,-73.41,32.0,100,75,3.96,US,1609853118
Linhares,-19.39,-40.07,82.45,76,77,6.85,BR,1609853388
San Miguel de Cozumel,20.51,-86.95,75.2,83,75,8.05,MX,1609853346
Meulaboh,4.14,96.13,80.64,83,80,3.29,ID,1609853390
Farafangana,-22.82,47.83,81.14,72,0,13.67,MG,1609853391
Saint-Louis,16.33,-15.0,91.4,27,0,2.24,SN,1609853392
Vila Franca do Campo,37.72,-25.43,59.0,82,75,21.92,PT,1609853393
Viedma,-40.81,-63.0,66.99,74,88,7.38,AR,1609853116
Khatanga,71.97,102.5,-3.08,91,100,19.82,RU,1609853396
Inverell,-29.78,151.12,69.01,88,1,2.21,AU,1609853397
Kruisfontein,-34.0,24.73,70.05,81,100,8.19,ZA,1609853399
Hailar,49.2,119.7,-15.41,89,100,7.11,CN,1609853410
Puerto Escondido,15.85,-97.07,71.6,88,5,4.7,MX,1609853414
Geraardsbergen,50.78,3.91,36.0,92,100,1.01,BE,1609853415
Richards Bay,-28.78,32.04,82.09,78,93,14.38,ZA,1609853426
Ketchikan,55.34,-131.65,39.2,93,90,27.51,US,1609853427
Aklavik,68.22,-135.01,-16.6,75,100,1.12,CA,1609853434
Ridgecrest,35.62,-117.67,46.0,69,20,5.82,US,1609853402
Asău,46.43,26.4,39.0,79,100,2.39,RO,1609853438
Pandan,14.05,124.17,79.41,83,69,11.54,PH,1609853439
Ancud,-41.87,-73.82,59.0,62,0,9.17,CL,1609853441
Dingle,11.0,122.67,75.65,89,100,8.75,PH,1609853442
Mayor Pablo Lagerenza,-19.93,-60.77,77.9,73,98,5.59,PY,1609853444
West Lorne,42.6,-81.6,32.0,97,100,3.36,CA,1609853445
Nemuro,43.32,145.57,21.69,85,42,8.77,JP,1609853446
Līsakovsk,52.54,62.49,-4.18,86,99,2.75,KZ,1609853205
Mgachi,51.05,142.27,-5.19,90,100,10.49,RU,1609853448
Port Blair,11.67,92.75,80.11,78,0,9.28,IN,1609853451
North Bend,43.41,-124.22,45.0,81,1,10.29,US,1609853248
Quelimane,-17.88,36.89,93.2,59,40,11.41,MZ,1609853453
Hlohovec,48.43,17.8,41.0,80,75,10.29,SK,1609853454
Santa Cruz de la Sierra,-17.8,-63.17,73.4,94,90,6.93,BO,1609853284
Taoudenni,22.68,-3.98,83.25,14,75,2.86,ML,1609853456
Egvekinot,66.32,-179.17,-6.32,93,100,2.35,RU,1609853457
Sumbe,-11.21,13.84,86.0,69,0,6.93,AO,1609853459
Ulladulla,-35.35,150.47,66.0,100,75,10.38,AU,1609853461
Khuzdar,27.74,66.64,50.13,43,0,6.06,PK,1609853462
Pacific Grove,36.62,-121.92,45.0,81,1,4.7,US,1609853378
San Patricio,28.02,-97.52,62.6,100,90,6.53,US,1609853464
Dana Point,33.47,-117.7,53.01,93,0,1.99,US,1609853339
Were Īlu,10.6,39.43,62.19,38,0,12.82,ET,1609853466
Camacha,33.08,-16.33,66.2,82,20,16.11,PT,1609853468
Yar-Sale,66.83,70.83,-11.72,88,87,14.45,RU,1609853469
Kangaatsiaq,68.31,-53.46,10.0,94,100,3.11,GL,1609853471
Port Hedland,-20.32,118.57,78.8,50,74,21.92,AU,1609853472
Noumea,-22.28,166.46,84.0,88,96,2.24,NC,1609853473
Baykit,61.67,96.37,-10.61,85,100,6.67,RU,1609853474
Newport,51.59,-3.0,41.0,80,47,3.0,GB,1609853475
Chernyshevskiy,63.01,112.47,-21.77,88,100,8.3,RU,1609853476
Nanortalik,60.14,-45.24,26.92,93,0,5.28,GL,1609853477
Nyurba,63.28,118.33,-24.18,85,100,8.61,RU,1609853479
Lata,40.16,-8.33,50.0,73,0,1.99,PT,1609853480
Øksfjord,70.24,22.35,39.2,93,75,2.24,NO,1609853482
Ossora,59.24,163.07,-2.58,90,96,6.29,RU,1609853483
Palu,-0.89,119.87,75.52,81,100,2.35,ID,1609853484
La Orilla,17.98,-102.23,70.7,77,0,3.2,MX,1609853485
Staraya Kulatka,52.72,47.62,18.5,97,100,7.43,RU,1609853486
Birao,10.28,22.79,97.29,11,0,10.76,CF,1609853488
Haines Junction,60.75,-137.51,5.02,89,100,1.74,CA,1609853489
Galle,6.04,80.22,79.56,83,97,5.21,LK,1609853251
La Marque,29.37,-94.97,57.99,93,90,4.7,US,1609853491
Vila Velha,-20.33,-40.29,86.0,62,20,12.75,BR,1609853276
Codrington,-38.27,141.97,54.91,79,90,10.29,AU,1609853493
Taltal,-25.4,-70.48,69.39,64,3,5.75,CL,1609853494
College,64.86,-147.8,-7.6,76,75,2.24,US,1609853495
Camaná,-16.62,-72.71,73.13,67,4,5.73,PE,1609853359
Qaanaaq,77.48,-69.36,0.9,75,100,6.2,GL,1609853499
Hithadhoo,-0.6,73.08,83.1,78,91,15.61,MV,1609853501
Palapye,-22.55,27.13,90.37,30,79,3.85,BW,1609853304
Assiniboia,49.63,-105.98,32.0,92,100,6.93,CA,1609853504
Juneau,58.3,-134.42,37.99,86,90,21.92,US,1609853251
Bogorodskoye,56.55,37.88,29.84,99,100,3.62,RU,1609853506
Montepuez,-13.13,39.0,74.48,92,100,5.66,MZ,1609853507
Klaksvík,62.23,-6.59,42.8,100,64,10.29,FO,1609853509
Bambous Virieux,-20.34,57.76,80.6,78,40,13.87,MU,1609853510
Saint-Joseph,-21.37,55.62,84.2,62,75,21.92,RE,1609853511
Guerrero Negro,27.98,-114.06,55.47,90,100,3.15,MX,1609853512
Itaqui,-29.13,-56.55,75.51,84,92,11.1,BR,1609853513
Naze,28.37,129.48,59.0,72,75,25.28,JP,1609853514
Constitución,-35.33,-72.42,66.07,51,0,4.23,CL,1609853515
Pathein,16.78,94.73,72.97,77,28,8.68,MM,1609853516
Wawa,9.9,4.42,99.16,11,0,3.18,NG,1609853517
Trairi,-3.28,-39.27,87.96,55,65,13.96,BR,1609853519
Berea,41.37,-81.85,33.8,74,90,3.36,US,1609853476
La Ronge,55.1,-105.28,10.4,85,100,3.36,CA,1609853522
Eyl,7.98,49.82,77.7,51,0,25.21,SO,1609853523
Ituango,7.17,-75.76,65.41,83,52,1.68,CO,1609853488
Vestmannaeyjar,63.44,-20.27,37.4,93,75,8.05,IS,1609853526
Faya,18.39,42.45,68.0,63,20,11.41,SA,1609853528
Falam,22.92,93.68,52.29,85,18,1.5,MM,1609853529
Half Moon Bay,37.46,-122.43,48.99,100,20,3.36,US,1609853530
San Cristobal,7.77,-72.22,75.2,83,40,2.24,VE,1609853531
Naryan-Mar,67.67,53.09,-6.75,91,19,9.22,RU,1609853532
Bambanglipuro,-7.95,110.28,78.04,82,100,5.44,ID,1609853533
Palaia Fokaia,37.72,23.95,60.8,41,20,12.75,GR,1609853534
San Carlos,9.66,-68.58,77.79,58,7,1.86,VE,1609853323
Mount Gambier,-37.83,140.77,57.2,62,90,14.99,AU,1609853536
Vao,-22.67,167.48,78.64,84,100,22.24,NC,1609853537
Diamantino,-14.41,-56.45,81.75,67,57,7.34,BR,1609853253
Bubaque,11.28,-15.83,81.3,39,5,2.98,GW,1609853540
Airai,-8.93,125.41,62.92,100,100,0.43,TL,1609853541
Pemba,-12.97,40.52,84.2,66,75,12.75,MZ,1609853542
Akureyri,65.68,-18.09,37.4,64,20,11.41,IS,1609853543
Moree,-29.47,149.85,77.0,69,33,5.82,AU,1609853545
Salalah,17.02,54.09,77.0,44,0,9.17,OM,1609853547
Bengkulu,-3.8,102.27,79.63,87,100,4.68,ID,1609853548
Tucumcari,35.17,-103.72,37.4,47,1,17.22,US,1609853447
Tazovsky,67.47,78.7,-14.26,88,51,12.35,RU,1609853550
Bani Walid,31.76,13.99,58.26,30,100,8.55,LY,1609853551
Bolshaya Rechka,51.95,104.74,-18.4,75,75,8.95,RU,1609853552
Petrokamenskoye,57.72,60.65,-2.83,92,91,5.93,RU,1609853553
Fare,-16.7,-151.02,80.28,75,100,13.53,PF,1609853554
Inhambane,-23.86,35.38,89.6,59,40,11.41,MZ,1609853439
Takoradze,4.88,-1.76,85.1,71,100,9.84,GH,1609853556
Bad Frankenhausen,51.35,11.1,35.01,86,100,1.01,DE,1609853558
Upernavik,72.79,-56.15,7.93,94,100,33.71,GL,1609853559
São João da Barra,-21.64,-41.05,86.0,62,0,5.82,BR,1609853560
Yaan,7.38,8.57,101.43,16,82,6.89,NG,1609853561
Husavik,66.04,-17.34,37.4,64,20,11.41,IS,1609853562
Comodoro Rivadavia,-45.87,-67.5,69.8,43,0,10.29,AR,1609853290
Bilma,18.69,12.92,93.92,10,0,6.55,NE,1609853564
Luanda,-8.84,13.23,86.0,58,40,14.99,AO,1609853459
Yellowknife,62.46,-114.35,-25.6,74,75,8.05,CA,1609853404
Rawson,-43.3,-65.1,65.23,36,0,6.89,AR,1609853466
Praia,14.92,-23.51,86.0,15,75,19.46,CV,1609853397
Wilmington,34.23,-77.94,41.0,93,20,4.43,US,1609853277
Baião,-2.79,-49.67,88.79,54,80,4.68,BR,1609853573
Panabá,21.28,-88.27,72.27,83,95,8.1,MX,1609853574
Zanjān,36.67,48.48,33.8,64,0,6.93,IR,1609853575
Rāyadrug,14.7,76.87,75.07,70,78,12.21,IN,1609853576
Bindi,9.92,-11.45,96.89,17,27,7.52,SL,1609853577
Channarāyapatna,12.9,76.39,72.82,67,75,4.52,IN,1609853579
Tuy Hoa,13.08,109.3,73.96,90,96,13.73,VN,1609853555
Nefteyugansk,61.1,72.6,-13.0,75,0,8.95,RU,1609853581
Alihe,50.57,123.72,-12.71,83,100,2.48,CN,1609853582
Kyabé,9.45,18.94,101.75,8,0,9.4,TD,1609853583
Hayange,49.33,6.05,37.99,89,100,1.01,FR,1609853584
Cidreira,-30.18,-50.21,80.28,61,100,5.59,BR,1609853586
Vostok,46.49,135.88,-15.05,91,100,4.23,RU,1609853587
Avera,33.19,-82.53,44.01,87,40,4.7,US,1609853589
Kahului,20.89,-156.47,73.4,69,40,5.82,US,1609853590
Caravelas,-17.71,-39.25,84.99,60,83,10.76,BR,1609853591
Vizianagaram,18.12,83.42,78.8,69,94,8.05,IN,1609853592
Avilés,43.55,-5.92,45.0,86,20,12.75,ES,1609853593
Cuamba,-14.8,36.54,80.33,72,55,4.25,MZ,1609853594
Silva Jardim,-22.65,-42.39,84.2,68,40,3.36,BR,1609853595
Hirara,24.8,125.28,67.28,83,100,31.9,JP,1609853596
Lookan,5.04,120.1,81.59,73,100,2.73,PH,1609853597
Ostrovnoy,68.05,39.51,11.21,94,49,13.0,RU,1609853598
Nakhon Thai,17.1,100.84,73.4,83,0,2.84,TH,1609853601
Krasnosel'kup,65.7,82.47,-15.25,88,98,12.39,RU,1609853602
Jaen,38.0,-3.5,50.0,65,100,3.36,ES,1609853603
Evensk,61.95,159.23,-12.53,79,37,7.72,RU,1609853604
Outlook,51.5,-107.05,32.0,93,100,3.36,CA,1609853605
Liverpool,53.41,-2.98,41.0,75,0,12.75,GB,1609853357
Roald,62.58,6.13,33.8,64,0,5.82,NO,1609853607
Beringovskiy,63.05,179.32,-8.07,85,12,10.83,RU,1609853608
Kununurra,-15.77,128.73,84.2,89,11,7.0,AU,1609853609
Provideniya,64.38,-173.3,0.59,84,13,11.81,RU,1609853612
Lavrentiya,65.58,-171.0,-6.39,87,0,13.91,RU,1609853613
Westport,41.14,-73.36,35.01,85,1,7.9,US,1609853546
Karaton,-6.34,106.1,82.99,83,20,2.24,ID,1609853616
Sibolga,1.74,98.78,78.69,83,87,3.02,ID,1609853617
Tolaga Bay,-38.37,178.3,60.6,90,48,5.01,NZ,1609853618
Broken Hill,-31.95,141.43,73.4,28,31,9.17,AU,1609853510
Moerai,-22.43,-151.33,78.51,75,5,11.16,PF,1609853621
Wadi Maliz,36.47,8.55,57.2,33,40,5.82,TN,1609853622
Changde,29.05,111.68,40.17,69,83,7.34,CN,1609853623
Gornyak,50.99,81.47,-24.02,87,93,1.92,RU,1609853624
Bundaberg,-24.85,152.35,77.0,88,100,1.23,AU,1609853625
Itoman,26.12,127.67,62.6,82,75,19.46,JP,1609853626
Palmer,42.16,-72.33,30.99,100,90,4.79,US,1609853628
Khasan,42.43,130.64,9.72,80,0,15.46,RU,1609853629
Batagay-Alyta,67.8,130.41,-21.57,81,0,1.79,RU,1609853630
Boden,65.83,21.69,14.0,92,90,1.12,SE,1609853631
Saint-Pierre,-21.34,55.48,84.2,62,75,21.92,RE,1609853632
Philadelphia,39.95,-75.16,39.2,82,90,3.44,US,1609853443
Palm Coast,29.59,-81.21,50.0,93,1,5.97,US,1609853601
Laguna,38.42,-121.42,39.99,93,90,1.45,US,1609853635
Wamba,8.93,8.6,100.65,10,24,7.23,NG,1609853636
Khāsh,28.22,61.22,40.98,46,0,5.21,IR,1609853638
Matara,5.95,80.54,78.1,87,56,6.2,LK,1609853627
Calama,-22.47,-68.93,60.8,44,0,8.05,CL,1609853640
San Quintín,30.48,-115.95,53.69,83,0,1.3,MX,1609853641
Semirara,12.07,121.4,82.08,77,90,19.55,PH,1609853642
Okhotsk,59.38,143.3,-8.86,84,98,12.35,RU,1609853643
Mamlyutka,54.94,68.54,-9.4,76,0,17.9,KZ,1609853644
Pabradė,55.0,25.78,34.0,100,90,8.05,LT,1609853645
Ust-Kuyga,70.02,135.6,-34.89,80,64,9.24,RU,1609853647
Meridian,43.61,-116.39,36.0,100,1,5.82,US,1609853404
Kemijärvi,66.71,27.43,9.81,95,5,3.24,FI,1609853649
Kerema,-7.96,145.78,79.77,82,99,4.74,PG,1609853650
Severo-Yeniseyskiy,60.37,93.04,-17.93,90,100,4.7,RU,1609853651
Wai,17.93,73.9,72.36,64,63,1.74,IN,1609853631
Barra de Tecoanapa,16.52,-98.75,75.43,81,0,4.72,MX,1609853653
Coyhaique,-45.58,-72.07,55.4,58,0,2.24,CL,1609853654
Bathsheba,13.22,-59.52,84.2,58,20,18.34,BB,1609853655
Teknāf,20.86,92.31,71.71,72,90,7.29,BD,1609853656
Pinega,64.7,43.39,4.15,94,45,3.0,RU,1609853658
Auki,-8.77,160.7,78.4,71,100,5.19,SB,1609853659
Nabire,-3.37,135.48,77.54,89,100,4.09,ID,1609853660
Quatre Cocos,-20.21,57.76,80.6,78,40,13.87,MU,1609853661
Iqaluit,63.75,-68.51,-5.01,70,90,3.36,CA,1609853662
Narsaq,60.92,-46.05,28.4,68,75,2.24,GL,1609853663
Alta Floresta,-9.88,-56.09,83.21,71,84,3.83,BR,1609853664
Hofn,64.25,-15.21,38.32,81,100,7.85,IS,1609853667
Yangshe,31.89,120.61,39.0,79,91,8.99,CN,1609853668
Neiafu,-18.65,-173.98,77.0,94,75,8.05,TO,1609853669
Enniscorthy,52.5,-6.56,39.0,93,40,10.29,IE,1609853670
Torbay,47.67,-52.73,34.0,91,90,18.34,CA,1609853671
Zalesovo,53.99,84.74,-16.47,85,0,8.01,RU,1609853672
Mogadishu,2.04,45.34,79.79,67,36,25.17,SO,1609853530
Aleksandrov Gay,50.15,48.57,10.9,94,0,10.18,RU,1609853674
Lubumbashi,-11.66,27.48,72.95,88,100,5.21,CD,1609853675
Warrnambool,-38.38,142.48,55.0,92,99,11.68,AU,1609853677
Tigzirt,36.89,4.12,54.68,48,100,8.63,DZ,1609853678
Brigantine,39.41,-74.36,37.99,93,90,4.7,US,1609853679
Churapcha,62.0,132.43,-48.05,77,100,1.32,RU,1609853680
Karratha,-20.74,116.85,85.3,64,85,4.12,AU,1609853681
Broome,42.25,-75.83,32.0,92,90,3.36,US,1609853682
Aktash,50.3,87.73,-24.23,82,0,5.53,RU,1609853683
